Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Nate Herbig,G,63,100%,0,0%,4,14%,1,Jets,15.0,2022,217
Laken Tomlinson,G,63,100%,0,0%,4,14%,1,Jets,15.0,2022,217
Zach Wilson,QB,63,100%,0,0%,0,0%,1,Jets,15.0,2022,217
Duane Brown,T,63,100%,0,0%,0,0%,1,Jets,15.0,2022,217
Connor McGovern,C,63,100%,0,0%,0,0%,1,Jets,15.0,2022,217
George Fant,T,63,100%,0,0%,0,0%,1,Jets,15.0,2022,217
Garrett Wilson,WR,62,98%,0,0%,0,0%,1,Jets,15.0,2022,217
Tyler Conklin,TE,47,75%,0,0%,10,36%,1,Jets,15.0,2022,217
Elijah Moore,WR,47,75%,0,0%,0,0%,1,Jets,15.0,2022,217
Michael Carter,RB,33,52%,0,0%,0,0%,1,Jets,15.0,2022,217
C.J. Uzomah,TE,32,51%,0,0%,12,43%,1,Jets,15.0,2022,217
Zonovan Knight,RB,30,48%,0,0%,0,0%,1,Jets,15.0,2022,217
Jeff Smith,WR,29,46%,0,0%,4,14%,1,Jets,15.0,2022,217
Braxton Berrios,WR,27,43%,0,0%,11,39%,1,Jets,15.0,2022,217
Denzel Mims,WR,6,10%,0,0%,0,0%,1,Jets,15.0,2022,217
Dan Feeney,G,2,3%,0,0%,4,14%,1,Jets,15.0,2022,217
Sauce Gardner,CB,0,0%,68,100%,5,18%,1,Jets,15.0,2022,217
C.J. Mosley,LB,0,0%,68,100%,5,18%,1,Jets,15.0,2022,217
D.J. Reed,CB,0,0%,68,100%,0,0%,1,Jets,15.0,2022,217
Will Parks,FS,0,0%,68,100%,0,0%,1,Jets,15.0,2022,217
Jordan Whitehead,SS,0,0%,68,100%,0,0%,1,Jets,15.0,2022,217
Michael Carter II,CB,0,0%,49,72%,0,0%,1,Jets,15.0,2022,217
Sheldon Rankins,DT,0,0%,48,71%,5,18%,1,Jets,15.0,2022,217
Quincy Williams,LB,0,0%,46,68%,0,0%,1,Jets,15.0,2022,217
Carl Lawson,DE,0,0%,41,60%,0,0%,1,Jets,15.0,2022,217
John Franklin-Myers,DE,0,0%,39,57%,0,0%,1,Jets,15.0,2022,217
Kwon Alexander,LB,0,0%,35,51%,0,0%,1,Jets,15.0,2022,217
Nathan Shepherd,DT,0,0%,34,50%,9,32%,1,Jets,15.0,2022,217
Jermaine Johnson II,DE,0,0%,24,35%,4,14%,1,Jets,15.0,2022,217
Micheal Clemons,DE,0,0%,23,34%,18,64%,1,Jets,15.0,2022,217
Solomon Thomas,DT,0,0%,23,34%,5,18%,1,Jets,15.0,2022,217
Bryce Huff,DE,0,0%,19,28%,11,39%,1,Jets,15.0,2022,217
Tanzel Smart,DT,0,0%,13,19%,0,0%,1,Jets,15.0,2022,217
Vinny Curry,DE,0,0%,8,12%,6,21%,1,Jets,15.0,2022,217
Tony Adams,FS,0,0%,6,9%,22,79%,1,Jets,15.0,2022,217
Justin Hardee,CB,0,0%,0,0%,24,86%,1,Jets,15.0,2022,217
Ashtyn Davis,SS,0,0%,0,0%,24,86%,1,Jets,15.0,2022,217
Kenny Yeboah,TE,0,0%,0,0%,23,82%,1,Jets,15.0,2022,217
Hamsah Nasirildeen,LB,0,0%,0,0%,19,68%,1,Jets,15.0,2022,217
Jamien Sherwood,LB,0,0%,0,0%,18,64%,1,Jets,15.0,2022,217
Ty Johnson,RB,0,0%,0,0%,13,46%,1,Jets,15.0,2022,217
Bryce Hall,CB,0,0%,0,0%,13,46%,1,Jets,15.0,2022,217
Thomas Hennessy,LS,0,0%,0,0%,10,36%,1,Jets,15.0,2022,217
Braden Mann,P,0,0%,0,0%,10,36%,1,Jets,15.0,2022,217
Greg Zuerlein,K,0,0%,0,0%,7,25%,1,Jets,15.0,2022,217
Laurent Duvernay-Tardif,G,0,0%,0,0%,4,14%,1,Jets,15.0,2022,217
Mike Remmers,T,0,0%,0,0%,4,14%,1,Jets,15.0,2022,217
