Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1.0,San Francisco 49ers,17.0,11.0,20.0,,,1.0,,1.0,33.0,,3.0,,27.0,30.0,16.0,21.0,2.0,277.0,16.3
2.0,Buffalo Bills,16.0,10.0,21.0,,,1.0,,,32.0,1.0,4.0,,27.0,28.0,21.0,28.0,1.0,286.0,17.9
3.0,Baltimore Ravens,17.0,11.0,20.0,,,1.0,,,32.0,1.0,3.0,,28.0,29.0,31.0,38.0,,315.0,18.5
4.0,New York Jets,17.0,14.0,15.0,2.0,,,,,31.0,,0.0,,29.0,31.0,33.0,43.0,1.0,316.0,18.6
5.0,Dallas Cowboys,17.0,9.0,23.0,,,,3.0,,35.0,1.0,5.0,,28.0,29.0,34.0,40.0,,342.0,20.1
6.0,Cincinnati Bengals,16.0,12.0,17.0,,,1.0,2.0,,32.0,1.0,3.0,,26.0,29.0,34.0,40.0,,322.0,20.1
7.0,Washington Commanders,17.0,10.0,26.0,,,1.0,1.0,,38.0,,1.0,,35.0,37.0,26.0,29.0,1.0,343.0,20.2
8.0,Philadelphia Eagles,17.0,15.0,22.0,,,1.0,2.0,,40.0,1.0,3.0,,34.0,36.0,22.0,25.0,1.0,344.0,20.2
9.0,New Orleans Saints,17.0,14.0,17.0,,,2.0,3.0,,36.0,3.0,6.0,,27.0,30.0,32.0,35.0,,345.0,20.3
10.0,Pittsburgh Steelers,17.0,7.0,29.0,,,1.0,,,37.0,1.0,2.0,,32.0,34.0,30.0,34.0,,346.0,20.4
11.0,New England Patriots,17.0,7.0,28.0,,3.0,2.0,,,40.0,1.0,3.0,,33.0,36.0,24.0,29.0,,347.0,20.4
12.0,Jacksonville Jaguars,17.0,14.0,25.0,,,,,,39.0,4.0,7.0,,30.0,32.0,26.0,27.0,,350.0,20.6
13.0,Tampa Bay Buccaneers,17.0,12.0,29.0,,,,,,41.0,2.0,4.0,,36.0,36.0,24.0,27.0,,358.0,21.1
14.0,Denver Broncos,17.0,12.0,20.0,,,1.0,2.0,,35.0,1.0,3.0,,30.0,31.0,39.0,41.0,,359.0,21.1
15.0,Tennessee Titans,17.0,9.0,29.0,,,2.0,1.0,,41.0,3.0,7.0,,32.0,34.0,25.0,27.0,,359.0,21.1
16.0,Kansas City Chiefs,17.0,10.0,33.0,,,,,,43.0,1.0,3.0,,40.0,40.0,23.0,25.0,,369.0,21.7
17.0,Green Bay Packers,17.0,18.0,22.0,,,,1.0,1.0,42.0,1.0,2.0,,36.0,40.0,27.0,34.0,,371.0,21.8
18.0,New York Giants,17.0,16.0,21.0,,,,,,37.0,1.0,1.0,,34.0,36.0,37.0,43.0,1.0,371.0,21.8
19.0,Carolina Panthers,17.0,17.0,25.0,,,,2.0,,44.0,1.0,4.0,,36.0,40.0,24.0,33.0,,374.0,22.0
20.0,Cleveland Browns,17.0,22.0,20.0,,,,,,42.0,1.0,3.0,,35.0,39.0,30.0,35.0,1.0,381.0,22.4
21.0,Los Angeles Chargers,17.0,17.0,24.0,,,1.0,1.0,,43.0,1.0,2.0,,40.0,41.0,28.0,35.0,,384.0,22.6
22.0,Los Angeles Rams,17.0,12.0,23.0,,,1.0,2.0,1.0,39.0,2.0,3.0,,36.0,36.0,36.0,40.0,1.0,384.0,22.6
23.0,Atlanta Falcons,17.0,15.0,26.0,,,,,,41.0,4.0,5.0,,33.0,36.0,33.0,38.0,,386.0,22.7
24.0,Miami Dolphins,17.0,15.0,27.0,,1.0,1.0,1.0,,45.0,3.0,5.0,,38.0,40.0,27.0,29.0,2.0,399.0,23.5
25.0,Seattle Seahawks,17.0,21.0,23.0,,,1.0,1.0,,46.0,3.0,3.0,,39.0,42.0,26.0,32.0,1.0,401.0,23.6
26.0,Las Vegas Raiders,17.0,20.0,25.0,,,1.0,2.0,,48.0,3.0,6.0,,40.0,41.0,28.0,40.0,,418.0,24.6
27.0,Houston Texans,17.0,25.0,15.0,1.0,,3.0,4.0,,48.0,2.0,2.0,,44.0,45.0,28.0,32.0,,420.0,24.7
28.0,Minnesota Vikings,17.0,18.0,23.0,,1.0,,2.0,1.0,45.0,2.0,6.0,,39.0,39.0,38.0,44.0,,427.0,25.1
29.0,Detroit Lions,17.0,22.0,26.0,,,1.0,2.0,,51.0,2.0,6.0,,40.0,45.0,25.0,30.0,1.0,427.0,25.1
30.0,Indianapolis Colts,17.0,20.0,25.0,,,1.0,4.0,,50.0,4.0,7.0,,41.0,43.0,26.0,28.0,,427.0,25.1
31.0,Arizona Cardinals,17.0,21.0,29.0,,,1.0,1.0,,52.0,1.0,2.0,,48.0,50.0,29.0,31.0,,449.0,26.4
32.0,Chicago Bears,17.0,31.0,22.0,,1.0,1.0,1.0,1.0,57.0,4.0,5.0,,50.0,52.0,21.0,29.0,,463.0,27.2
,Avg Team,,15.2,23.4,0.1,0.2,0.8,1.2,0.2,41.1,1.8,3.7,0.0,35.1,37.1,28.2,33.2,0.4,370.6,21.9
,League Total,,487.0,750.0,3.0,6.0,26.0,38.0,5.0,1315.0,56.0,119.0,0.0,1123.0,1187.0,903.0,1062.0,13.0,11860.0,21.9
,Avg Tm/G,,0.9,1.38,0.01,0.01,0.05,0.07,0.01,2.43,0.1,0.22,0.0,2.07,2.19,1.67,1.96,0.02,21.9,
