Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
DeAndre Hopkins,TEN,11,8,140,0,7.0,113,14.1,27,3.4,15.7,1,8.0,0,0.0,1,76.9,5.0,2023,69
Chigoziem Okonkwo,TEN,9,5,33,0,2.0,23,4.6,10,2.0,4.1,1,5.0,1,11.1,0,63.7,5.0,2023,69
Tyjae Spears,TEN,5,4,35,0,2.0,-1,-0.3,36,9.0,0.4,0,,0,0.0,0,95.8,5.0,2023,69
Derrick Henry,TEN,3,3,19,0,1.0,-8,-2.7,27,9.0,-2.7,0,,0,0.0,0,93.1,5.0,2023,69
Trevon Wesco,TEN,1,1,21,0,1.0,9,9.0,12,12.0,9.0,0,,0,0.0,0,118.7,5.0,2023,69
Nick Westbrook-Ikhine,TEN,3,1,9,0,,7,7.0,2,2.0,11.3,0,,0,0.0,0,42.4,5.0,2023,69
Josh Whyle,TEN,1,1,7,0,1.0,6,6.0,1,1.0,6.0,0,,0,0.0,0,95.8,5.0,2023,69
Kyle Philips,TEN,1,0,0,0,,0,,0,,19.0,0,,0,0.0,0,39.6,5.0,2023,69
Josh Downs,IND,6,6,97,0,4.0,54,9.0,43,7.2,9.0,0,,0,0.0,0,118.7,5.0,2023,69
Michael Pittman Jr.,IND,7,5,52,0,2.0,30,6.0,22,4.4,10.1,0,,0,0.0,0,92.6,5.0,2023,69
Kylen Granson,IND,3,2,15,0,1.0,5,2.5,10,5.0,2.3,0,,0,0.0,0,78.5,5.0,2023,69
Zack Moss,IND,2,2,30,0,1.0,-9,-4.5,39,19.5,-4.5,1,2.0,0,0.0,0,118.7,5.0,2023,69
Andrew Ogletree,IND,2,2,16,0,1.0,13,6.5,3,1.5,6.5,1,2.0,0,0.0,0,100.0,5.0,2023,69
Mo Alie-Cox,IND,1,1,17,0,1.0,15,15.0,2,2.0,15.0,0,,0,0.0,0,118.7,5.0,2023,69
Alec Pierce,IND,2,1,10,0,1.0,10,10.0,0,0.0,12.5,0,,0,0.0,0,64.6,5.0,2023,69
Jonathan Taylor,IND,1,1,16,0,1.0,-6,-6.0,22,22.0,-6.0,0,,0,0.0,0,118.7,5.0,2023,69
